"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","air.pressure.mbar","DO.sat.EXO","solar.time"
"3911",7,6137,2019-07-11 09:15:00,11.9120909090909,89.6,90.3,9.67,409.960248922388,0.345542303550447,1128.90717499402,987.63,10.7924107142857,2019-07-11 07:28:57
"3912",7,6138,2019-07-11 09:30:00,11.9062727272727,90.8,91.5,9.8,413.65630271406,0.346517000126805,1184.30816549545,987.49,10.7929515418502,2019-07-11 07:43:57
"3913",7,6139,2019-07-11 09:45:00,11.906,91.9545454545455,92.7,9.93,409.960248922388,0.345542303550447,1238.06321160875,987.66,10.7988136431043,2019-07-11 07:58:57
"3914",7,6140,2019-07-11 10:00:00,11.917,93.2272727272727,94,10.06,411.808275818224,0.346029651838626,1289.94216987,987.5,10.7908337396392,2019-07-11 08:13:57
"3915",7,6141,2019-07-11 10:15:00,11.93,94.5545454545454,95.3,10.2,409.960248922388,0.345542303550447,1339.72292885939,987.66,10.7874242861263,2019-07-11 08:28:57
"3916",7,6142,2019-07-11 10:30:00,11.946,96.1,96.8909090909091,10.36,411.808275818224,0.346029651838626,1387.19236024763,987.75,10.7804370447451,2019-07-11 08:43:57
"3917",7,6143,2019-07-11 10:45:00,11.9689090909091,97.6,98.4,10.52,413.65630271406,0.346517000126805,1432.14723117858,987.69,10.7786885245902,2019-07-11 08:58:57
"3918",7,6144,2019-07-11 11:00:00,11.9979090909091,99.1,99.9,10.68,409.960248922388,0.345542303550447,1474.39507443407,987.85,10.7769929364279,2019-07-11 09:13:57
"3919",7,6145,2019-07-11 11:15:00,12.0359090909091,100.6,101.4,10.83,413.65630271406,0.346517000126805,1513.75501244038,987.82,10.765407554672,2019-07-11 09:28:57
"3920",7,6146,2019-07-11 11:30:00,12.0798181818182,102.3,103.1,11,411.808275818224,0.346029651838626,1550.05853167966,987.93,10.752688172043,2019-07-11 09:43:57
"3921",7,6147,2019-07-11 11:45:00,12.1262727272727,103.9,104.7,11.16,413.65630271406,0.346517000126805,1583.15020413584,987.79,10.7410972088547,2019-07-11 09:58:57
"3922",7,6148,2019-07-11 12:00:00,12.1830909090909,105.4,106.218181818182,11.3054545454545,413.65630271406,0.346517000126805,1612.88835273549,987.81,10.7262377091599,2019-07-11 10:13:57
"3923",7,6149,2019-07-11 12:15:00,12.2365454545455,106.9,107.754545454545,11.45,419.200383401566,0.347979044991341,1639.14565797489,987.92,10.710944808232,2019-07-11 10:28:57
"3924",7,6150,2019-07-11 12:30:00,12.2992727272727,108.3,109.172727272727,11.59,421.048410297402,0.34846639327952,1661.80970294365,987.81,10.7017543859649,2019-07-11 10:43:57
"3925",7,6151,2019-07-11 12:45:00,12.3574545454545,109.7,110.6,11.72,419.200383401566,0.347979044991341,1680.78345468505,987.75,10.6836827711942,2019-07-11 10:58:57
"3926",7,6152,2019-07-11 13:00:00,12.4308181818182,111.1,112,11.85,422.896437193238,0.348953741567699,1695.985679607,987.52,10.6660666066607,2019-07-11 11:13:57
"3927",7,6153,2019-07-11 13:15:00,12.5037272727273,112.4,113.3,11.9709090909091,422.896437193238,0.348953741567699,1707.35129126586,987.49,10.650274991912,2019-07-11 11:28:57
"3928",7,6154,2019-07-11 13:30:00,12.572,113.7,114.7,12.1,421.048410297402,0.34846639327952,1714.83162906589,987.48,10.6420404573439,2019-07-11 11:43:57
"3929",7,6155,2019-07-11 13:45:00,12.6303636363636,115,115.9,12.21,419.200383401566,0.347979044991341,1718.3946665553,987.72,10.6173913043478,2019-07-11 11:58:57
"3930",7,6156,2019-07-11 14:00:00,12.6991818181818,116.2,117.1,12.32,424.744464089073,0.349441089855877,1718.02514857774,987.48,10.6024096385542,2019-07-11 12:13:57
"3931",7,6157,2019-07-11 14:15:00,12.7595454545455,117.2,118.1,12.41,421.048410297402,0.34846639327952,1713.72465657654,987.45,10.5887372013652,2019-07-11 12:28:57
"3932",7,6158,2019-07-11 14:30:00,12.8246363636364,118.018181818182,119,12.48,422.896437193238,0.348953741567699,1705.51160183516,987.34,10.5746418117393,2019-07-11 12:43:57
"3933",7,6159,2019-07-11 14:45:00,12.886,118.7,119.7,12.5363636363636,424.744464089073,0.349441089855877,1693.42114665742,987.25,10.5613846978632,2019-07-11 12:58:57
"3934",7,6160,2019-07-11 15:00:00,12.9482727272727,119.4,120.390909090909,12.59,422.896437193238,0.348953741567699,1677.50505382625,987.18,10.5443886097152,2019-07-11 13:13:57
"3935",7,6161,2019-07-11 15:15:00,13.013,120.1,121,12.64,424.744464089073,0.349441089855877,1657.83146500182,987.01,10.5245628642798,2019-07-11 13:28:57
"3936",7,6162,2019-07-11 15:30:00,13.076,120.7,121.7,12.6936363636364,422.896437193238,0.348953741567699,1634.48460899448,987.18,10.5166829856143,2019-07-11 13:43:57
"3937",7,6163,2019-07-11 15:45:00,13.1304545454545,121.3,122.245454545455,12.74,426.592490984909,0.349928438144056,1607.56444113993,986.85,10.5028854080791,2019-07-11 13:58:57
"3938",7,6164,2019-07-11 16:00:00,13.1957272727273,121.7,122.7,12.76,424.744464089073,0.349441089855877,1577.18621537775,987.01,10.4847986852917,2019-07-11 14:13:57
"3939",7,6165,2019-07-11 16:15:00,13.249,121.8,122.8,12.76,426.592490984909,0.349928438144056,1543.47999081035,986.81,10.4761904761905,2019-07-11 14:28:57
