"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"9213",10457,2019-08-23 14:00:00,12.2316666666667,93.521,NA,3.9155,562.370666666667,0.368666666666667,3.66966666666667,NA,2019-08-23 12:11:40,13.0790588922987,1385.89727296749
"9214",10458,2019-08-23 14:15:00,12.232,93.634,NA,3.96433333333333,567.314,0.370666666666667,0.725333333333333,NA,2019-08-23 12:26:40,13.0636307324263,1381.3170893052
"9215",10459,2019-08-23 14:30:00,12.23,93.6033333333333,NA,3.955,572.024,0.372666666666667,0.676,NA,2019-08-23 12:41:40,13.065774010897,1372.66072900768
"9216",10460,2019-08-23 14:45:00,12.2293333333333,93.6356666666667,NA,3.97083333333333,566.406666666667,0.369333333333333,0.649333333333333,NA,2019-08-23 12:56:40,13.0605502888856,1359.96527307029
"9217",10461,2019-08-23 15:00:00,12.232,93.6456666666667,NA,3.966,577.256666666667,0.374,0.585,NA,2019-08-23 13:11:40,13.0620032249223,1343.28510499477
"9218",10462,2019-08-23 15:15:00,12.2283333333333,93.586,NA,3.954,575.84,0.372666666666667,0.562,NA,2019-08-23 13:26:40,13.0664130674816,1322.69167782398
"9219",10463,2019-08-23 15:30:00,12.221,93.5383333333333,NA,3.95816666666667,563.949333333333,0.368,0.539666666666667,NA,2019-08-23 13:41:40,13.0652317231794,1298.27320805663
"9220",10464,2019-08-23 15:45:00,12.218,93.5606666666667,NA,3.97416666666667,562.360666666667,0.368,0.502666666666667,NA,2019-08-23 13:56:40,13.0589065205464,1270.13429776674
"9221",10465,2019-08-23 16:00:00,12.214,93.6063333333333,NA,4.00333333333333,576.232,0.374,0.566666666666667,NA,2019-08-23 14:11:40,13.0482624038972,1238.3954865349
"9222",10466,2019-08-23 16:15:00,12.2143333333333,93.679,NA,4.02983333333333,564.265333333333,0.367333333333333,0.488,NA,2019-08-23 14:26:40,13.0384967103976,1203.19273504323
"9223",10467,2019-08-23 16:30:00,12.2106666666667,93.7336666666667,NA,4.06466666666667,569.480666666667,0.368,0.506,NA,2019-08-23 14:41:40,13.0269807006376,1164.67684271433
