"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","Site","depth","light","DO.sat.EXO","solar.time","ODO.mgL.Calc"
"11952",5603,42565,2021-07-30 22:15:00,7.89845454545455,95.0363636363636,95.3454545454545,11.0427272727273,543.409098218341,"POKE",0.398509915013917,0,11.6194757987374,2021-07-30 20:28:57,11.2847158193376
"11953",5604,42566,2021-07-30 22:20:00,7.87930303030303,94.9907123255977,NA,11.0414666626187,541.494672775065,"POKE",0.399089874026769,9.40832201079775e-05,11.6240832687051,2021-07-30 20:33:57,NA
"11954",5604,42567,2021-07-30 22:25:00,7.86015151515152,94.9453627889147,NA,11.041175706821,544.362305737741,"POKE",0.399493042116917,0.000145736456139432,11.6286907386729,2021-07-30 20:38:57,NA
"11955",5605,42568,2021-07-30 22:30:00,7.841,94.9,95.2,11.04,546.268720776628,"POKE",0.400312360965281,0,11.6332982086407,2021-07-30 20:43:57,11.2844049257436
"11956",5606,42569,2021-07-30 22:35:00,7.822,94.8692188891339,NA,11.0435051348331,550.097571663297,"POKE",0.399916458968796,0.000455288856383535,11.6405322989046,2021-07-30 20:48:57,NA
"11957",5606,42570,2021-07-30 22:40:00,7.803,94.8384189769401,NA,11.0460574452219,546.276731181075,"POKE",0.399936707730526,0.000713188020596184,11.6477663891685,2021-07-30 20:53:57,NA
"11958",5607,42571,2021-07-30 22:45:00,7.784,94.8090909090909,95.1090909090909,11.05,546.276731181075,"POKE",0.400055485454239,0,11.6550004794324,2021-07-30 20:58:57,11.2893739880828
"11959",5608,42572,2021-07-30 22:50:00,7.76448484848485,94.7715119785508,NA,11.0493646679262,549.144364143838,"POKE",0.399886544253838,0.00224364306981099,11.6594758564044,2021-07-30 21:03:57,NA
"11960",5608,42573,2021-07-30 22:55:00,7.7449696969697,94.7353558421611,NA,11.0500693886481,545.31551325717,"POKE",0.39981613201542,0.00351619895481315,11.6639512333764,2021-07-30 21:08:57,NA
"11961",5609,42574,2021-07-30 23:00:00,7.72545454545455,94.7,95,11.05,546.268720776628,"POKE",0.399666934157104,0,11.6684266103485,2021-07-30 21:13:57,11.2926121813216
"11962",5610,42575,2021-07-30 23:05:00,7.70169696969697,94.6657584152699,NA,11.0534963025253,547.229938700504,"POKE",0.399747801787519,0.0110649214803115,11.6760617148623,2021-07-30 21:18:57,NA
"11963",5610,42576,2021-07-30 23:10:00,7.6779393939394,94.6323515464799,NA,11.056252677636,544.354295333353,"POKE",0.399749883798036,0.0173410881208077,11.6836968193762,2021-07-30 21:23:57,NA
"11964",5611,42577,2021-07-30 23:15:00,7.65418181818182,94.6,94.9,11.06,549.144364143838,"POKE",0.400055485454239,0,11.6913319238901,2021-07-30 21:28:57,11.3004776980603
"11965",5612,42578,2021-07-30 23:20:00,7.63178787878788,94.5658373832395,NA,11.0607147739206,547.229938700504,"POKE",0.399474765523908,0.0545703058721398,11.696738518444,2021-07-30 21:33:57,NA
"11966",5612,42579,2021-07-30 23:25:00,7.60939393939394,94.5327875806348,NA,11.062439593646,544.362305737741,"POKE",0.399197565239263,0.0855233569829757,11.7021451129979,2021-07-30 21:38:57,NA
"11967",5613,42580,2021-07-30 23:30:00,7.587,94.5,94.8,11.0636363636364,542.447880294465,"POKE",0.398380397914871,0.105,11.7075517075517,2021-07-30 21:43:57,11.3072220546976
"11968",5614,42581,2021-07-30 23:35:00,7.56433333333333,94.478483265491,NA,11.0678558728478,541.494672775065,"POKE",0.399140013016746,0.159420776549857,11.71435291606,2021-07-30 21:48:57,NA
"11969",5614,42582,2021-07-30 23:40:00,7.54166666666667,94.4572141432249,NA,11.0715927247289,544.362305737741,"POKE",0.399359661078874,0.202365145005903,11.7211541245683,2021-07-30 21:53:57,NA
"11970",5615,42583,2021-07-30 23:45:00,7.519,94.4363636363636,94.7181818181818,11.0754545454545,546.268720776628,"POKE",0.399924889011664,0.175,11.7279553330766,2021-07-30 21:58:57,11.3185674459883
