Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
380,15/06/2020 , 12:00:00,33056,33056
381,15/06/2020 , 12:15:00,12921,12921
382,15/06/2020 , 12:30:00,15720,15720
383,15/06/2020 , 12:45:00,15691,15691
384,15/06/2020 , 13:00:00,13871,13871
385,15/06/2020 , 13:15:00,11703,11703
386,15/06/2020 , 13:30:00,16242,16242
387,15/06/2020 , 13:45:00,21399,21399
388,15/06/2020 , 14:00:00,23951,23951
389,15/06/2020 , 14:15:00,40873,40873
390,15/06/2020 , 14:30:00,44883,44883
391,15/06/2020 , 14:45:00,43767,43767
392,15/06/2020 , 15:00:00,47597,47597
393,15/06/2020 , 15:15:00,32138,32138
394,15/06/2020 , 15:30:00,48354,48354
395,15/06/2020 , 15:45:00,49824,49824
396,15/06/2020 , 16:00:00,50104,50104
397,15/06/2020 , 16:15:00,21983,21983
398,15/06/2020 , 16:30:00,11100,11100
399,15/06/2020 , 16:45:00,8565,8565
400,15/06/2020 , 17:00:00,12688,12688
401,15/06/2020 , 17:15:00,8427,8427
402,15/06/2020 , 17:30:00,3374,3374
403,15/06/2020 , 17:45:00,2447,2447
404,15/06/2020 , 18:00:00,1661,1661
405,15/06/2020 , 18:15:00,3131,3131
406,15/06/2020 , 18:30:00,2865,2865
407,15/06/2020 , 18:45:00,3328,3328
408,15/06/2020 , 19:00:00,4776,4776
409,15/06/2020 , 19:15:00,6197,6197
410,15/06/2020 , 19:30:00,6660,6660
411,15/06/2020 , 19:45:00,6263,6263
412,15/06/2020 , 20:00:00,5138,5138
413,15/06/2020 , 20:15:00,5039,5039
414,15/06/2020 , 20:30:00,3955,3955
415,15/06/2020 , 20:45:00,3069,3069
416,15/06/2020 , 21:00:00,3444,3444
417,15/06/2020 , 21:15:00,2937,2937
418,15/06/2020 , 21:30:00,2380,2380
419,15/06/2020 , 21:45:00,2462,2462
420,15/06/2020 , 22:00:00,2044,2044
421,15/06/2020 , 22:15:00,1473,1473
422,15/06/2020 , 22:30:00,1583,1583
423,15/06/2020 , 22:45:00,1282,1282
424,15/06/2020 , 23:00:00,789,789
425,15/06/2020 , 23:15:00,731,731
426,15/06/2020 , 23:30:00,603,603
427,15/06/2020 , 23:45:00,364,364
428,15/06/2020 , 24:00:00,251,251
429,16/06/2020 , 00:15:00,156,156
430,16/06/2020 , 00:30:00,119,119
431,16/06/2020 , 00:45:00,98,98
432,16/06/2020 , 01:00:00,80,80
433,16/06/2020 , 01:15:00,64,64
434,16/06/2020 , 01:30:00,55,55
435,16/06/2020 , 01:45:00,52,52
436,16/06/2020 , 02:00:00,53,53
437,16/06/2020 , 02:15:00,57,57
438,16/06/2020 , 02:30:00,59,59
439,16/06/2020 , 02:45:00,68,68
440,16/06/2020 , 03:00:00,86,86
441,16/06/2020 , 03:15:00,109,109
442,16/06/2020 , 03:30:00,129,129
443,16/06/2020 , 03:45:00,167,167
444,16/06/2020 , 04:00:00,192,192
445,16/06/2020 , 04:15:00,240,240
446,16/06/2020 , 04:30:00,345,345
447,16/06/2020 , 04:45:00,458,458
448,16/06/2020 , 05:00:00,574,574
449,16/06/2020 , 05:15:00,717,717
450,16/06/2020 , 05:30:00,750,750
451,16/06/2020 , 05:45:00,1289,1289
452,16/06/2020 , 06:00:00,1988,1988
453,16/06/2020 , 06:15:00,3692,3692
454,16/06/2020 , 06:30:00,3703,3703
