"Plot Title: 20005933_FRCH_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005933, SEN S/N: 20005933, LBL: P)","Temp, °C (LGR S/N: 20005933, SEN S/N: 20005933, LBL: T)"
423,06/15/20 10:15:00 PM,98.449,16.141
424,06/15/20 10:30:00 PM,98.439,15.855
425,06/15/20 10:45:00 PM,98.444,15.473
426,06/15/20 11:00:00 PM,98.461,14.900
427,06/15/20 11:15:00 PM,98.446,14.230
428,06/15/20 11:30:00 PM,98.453,13.654
429,06/15/20 11:45:00 PM,98.451,13.076
430,06/16/20 12:00:00 AM,98.417,12.690
431,06/16/20 12:15:00 AM,98.461,12.304
432,06/16/20 12:30:00 AM,98.463,12.110
433,06/16/20 12:45:00 AM,98.471,11.819
434,06/16/20 01:00:00 AM,98.483,11.625
435,06/16/20 01:15:00 AM,98.476,11.431
436,06/16/20 01:30:00 AM,98.481,11.041
437,06/16/20 01:45:00 AM,98.472,10.553
438,06/16/20 02:00:00 AM,98.474,10.063
439,06/16/20 02:15:00 AM,98.469,9.669
440,06/16/20 02:30:00 AM,98.464,9.275
441,06/16/20 02:45:00 AM,98.456,9.077
442,06/16/20 03:00:00 AM,98.455,8.779
443,06/16/20 03:15:00 AM,98.453,8.978
444,06/16/20 03:30:00 AM,98.475,9.077
445,06/16/20 03:45:00 AM,98.472,8.978
446,06/16/20 04:00:00 AM,98.487,8.879
447,06/16/20 04:15:00 AM,98.487,8.879
448,06/16/20 04:30:00 AM,98.487,8.879
449,06/16/20 04:45:00 AM,98.520,8.978
450,06/16/20 05:00:00 AM,98.517,9.176
451,06/16/20 05:15:00 AM,98.528,9.472
452,06/16/20 05:30:00 AM,98.516,9.669
453,06/16/20 05:45:00 AM,98.531,10.063
454,06/16/20 06:00:00 AM,98.511,10.553
455,06/16/20 06:15:00 AM,98.528,11.528
456,06/16/20 06:30:00 AM,98.528,12.304
457,06/16/20 06:45:00 AM,98.544,12.497
458,06/16/20 07:00:00 AM,98.529,12.594
459,06/16/20 07:15:00 AM,98.527,13.076
460,06/16/20 07:30:00 AM,98.532,14.230
461,06/16/20 07:45:00 AM,98.521,15.760
462,06/16/20 08:00:00 AM,98.527,16.427
463,06/16/20 08:15:00 AM,98.518,16.713
464,06/16/20 08:30:00 AM,98.546,19.282
465,06/16/20 08:45:00 AM,98.531,23.004
466,06/16/20 09:00:00 AM,98.535,21.569
467,06/16/20 09:15:00 AM,98.520,20.901
468,06/16/20 09:30:00 AM,98.506,20.519
469,06/16/20 09:45:00 AM,98.519,20.615
470,06/16/20 10:00:00 AM,98.523,25.902
471,06/16/20 10:15:00 AM,98.497,30.862
472,06/16/20 10:30:00 AM,98.483,26.097
473,06/16/20 10:45:00 AM,98.451,27.567
474,06/16/20 11:00:00 AM,98.461,26.292
475,06/16/20 11:15:00 AM,98.493,24.062
476,06/16/20 11:30:00 AM,98.505,25.416
477,06/16/20 11:45:00 AM,98.509,24.738
478,06/16/20 12:00:00 PM,98.505,28.258
479,06/16/20 12:15:00 PM,98.483,26.097
480,06/16/20 12:30:00 PM,98.472,25.028
481,06/16/20 12:45:00 PM,98.474,24.835
482,06/16/20 01:00:00 PM,98.467,24.641
483,06/16/20 01:15:00 PM,98.461,25.513
484,06/16/20 01:30:00 PM,98.451,26.292
485,06/16/20 01:45:00 PM,98.457,25.416
486,06/16/20 02:00:00 PM,98.463,25.319
487,06/16/20 02:15:00 PM,98.451,26.292
488,06/16/20 02:30:00 PM,98.473,26.097
489,06/16/20 02:45:00 PM,98.456,25.125
490,06/16/20 03:00:00 PM,98.442,25.513
491,06/16/20 03:15:00 PM,98.412,25.222
492,06/16/20 03:30:00 PM,98.386,24.545
493,06/16/20 03:45:00 PM,98.362,24.158
494,06/16/20 04:00:00 PM,98.349,24.835
495,06/16/20 04:15:00 PM,98.355,26.292
496,06/16/20 04:30:00 PM,98.348,26.879
497,06/16/20 04:45:00 PM,98.335,26.781
498,06/16/20 05:00:00 PM,98.308,25.805
499,06/16/20 05:15:00 PM,98.274,26.195
500,06/16/20 05:30:00 PM,98.292,27.173
501,06/16/20 05:45:00 PM,98.274,28.258
502,06/16/20 06:00:00 PM,98.260,27.370
503,06/16/20 06:15:00 PM,98.278,28.357
504,06/16/20 06:30:00 PM,98.254,27.468
505,06/16/20 06:45:00 PM,98.253,28.456
506,06/16/20 07:00:00 PM,98.260,28.655
507,06/16/20 07:15:00 PM,98.266,28.555
508,06/16/20 07:30:00 PM,98.267,28.060
509,06/16/20 07:45:00 PM,98.259,26.292
510,06/16/20 08:00:00 PM,98.270,26.585
511,06/16/20 08:15:00 PM,98.281,27.665
512,06/16/20 08:30:00 PM,98.299,27.370
513,06/16/20 08:45:00 PM,98.292,27.173
514,06/16/20 09:00:00 PM,98.308,28.655
515,06/16/20 09:15:00 PM,98.316,28.853
516,06/16/20 09:30:00 PM,98.309,27.370
517,06/16/20 09:45:00 PM,98.290,26.097
518,06/16/20 10:00:00 PM,98.300,24.545
519,06/16/20 10:15:00 PM,98.311,22.525
520,06/16/20 10:30:00 PM,98.322,20.996
521,06/16/20 10:45:00 PM,98.352,19.472
522,06/16/20 11:00:00 PM,98.360,18.140
523,06/16/20 11:15:00 PM,98.368,16.808
524,06/16/20 11:30:00 PM,98.393,15.664
525,06/16/20 11:45:00 PM,98.393,14.613
526,06/17/20 12:00:00 AM,98.424,13.654
527,06/17/20 12:15:00 AM,98.431,12.787
528,06/17/20 12:30:00 AM,98.437,11.916
529,06/17/20 12:45:00 AM,98.462,11.041
530,06/17/20 01:00:00 AM,98.487,10.161
531,06/17/20 01:15:00 AM,98.480,9.472
532,06/17/20 01:30:00 AM,98.480,8.680
533,06/17/20 01:45:00 AM,98.512,7.983
534,06/17/20 02:00:00 AM,98.524,7.280
535,06/17/20 02:15:00 AM,98.534,6.775
536,06/17/20 02:30:00 AM,98.554,6.268
537,06/17/20 02:45:00 AM,98.552,5.962
538,06/17/20 03:00:00 AM,98.573,5.757
539,06/17/20 03:15:00 AM,98.596,5.347
540,06/17/20 03:30:00 AM,98.608,5.141
