agency_cd,site_no,datetime,tz_cd,1760_00060,1760_00060_cd
USGS,15484000,4/11/2022 23:15,AKDT,374,A:e
USGS,15484000,4/12/2022 11:15,AKDT,374,A:e
USGS,15484000,4/12/2022 23:15,AKDT,374,A:e
USGS,15484000,4/13/2022 11:15,AKDT,374,A:e
USGS,15484000,4/13/2022 23:15,AKDT,374,A:e
USGS,15484000,4/14/2022 11:15,AKDT,374,A:e
USGS,15484000,4/14/2022 23:15,AKDT,374,A:e
USGS,15484000,4/15/2022 11:15,AKDT,374,A:e
USGS,15484000,4/15/2022 23:15,AKDT,374,A:e
USGS,15484000,4/16/2022 11:15,AKDT,374,A:e
USGS,15484000,4/16/2022 23:15,AKDT,374,A:e
USGS,15484000,4/17/2022 11:15,AKDT,374,A:e
USGS,15484000,4/17/2022 23:15,AKDT,374,A:e
USGS,15484000,4/18/2022 11:15,AKDT,374,A:e
USGS,15484000,4/18/2022 23:15,AKDT,375,A:e
USGS,15484000,4/19/2022 11:15,AKDT,377,A:e
USGS,15484000,4/19/2022 23:15,AKDT,378,A:e
USGS,15484000,4/20/2022 11:15,AKDT,378,A:e
USGS,15484000,4/20/2022 23:15,AKDT,381,A:e
USGS,15484000,4/21/2022 11:15,AKDT,385,A:e
USGS,15484000,4/21/2022 23:15,AKDT,392,A:e
USGS,15484000,4/22/2022 11:15,AKDT,399,A:e
USGS,15484000,4/22/2022 23:15,AKDT,407,A:e
USGS,15484000,4/23/2022 11:15,AKDT,422,A:e
USGS,15484000,4/23/2022 23:15,AKDT,437,A:e
USGS,15484000,4/24/2022 11:15,AKDT,454,A:e
USGS,15484000,4/24/2022 23:15,AKDT,473,A:e
USGS,15484000,4/25/2022 11:15,AKDT,491,A:e
USGS,15484000,4/25/2022 23:15,AKDT,516,A:e
USGS,15484000,4/26/2022 11:15,AKDT,542,A:e
USGS,15484000,4/26/2022 23:15,AKDT,577,A:e
USGS,15484000,4/27/2022 11:15,AKDT,620,A:e
USGS,15484000,4/27/2022 23:15,AKDT,661,A:e
USGS,15484000,4/28/2022 11:15,AKDT,723,A:e
USGS,15484000,4/28/2022 23:15,AKDT,802,A:e
USGS,15484000,4/29/2022 11:15,AKDT,893,A:e
USGS,15484000,4/29/2022 23:15,AKDT,1010,A:e
USGS,15484000,4/30/2022 11:15,AKDT,1140,A:e
USGS,15484000,4/30/2022 23:15,AKDT,1380,A:e
USGS,15484000,5/1/2022 11:15,AKDT,1670,A:e
USGS,15484000,5/1/2022 23:15,AKDT,2030,A:e
USGS,15484000,5/2/2022 11:15,AKDT,2370,A:e
USGS,15484000,5/2/2022 23:15,AKDT,2820,A:e
USGS,15484000,5/3/2022 11:15,AKDT,3380,A:e
USGS,15484000,5/3/2022 23:15,AKDT,3760,A:e
USGS,15484000,5/4/2022 11:15,AKDT,4050,A:e
USGS,15484000,5/4/2022 23:15,AKDT,4200,A:e
USGS,15484000,5/5/2022 11:15,AKDT,4480,A:e
USGS,15484000,5/5/2022 23:15,AKDT,4680,A:e
USGS,15484000,5/6/2022 11:15,AKDT,5000,A:e
USGS,15484000,5/6/2022 23:15,AKDT,5610,A:e
USGS,15484000,5/7/2022 1:45,AKDT,5630,A
USGS,15484000,5/7/2022 2:00,AKDT,5670,A
USGS,15484000,5/7/2022 2:15,AKDT,5710,A
USGS,15484000,5/7/2022 2:30,AKDT,5670,A
USGS,15484000,5/7/2022 2:45,AKDT,5670,A
USGS,15484000,5/7/2022 3:00,AKDT,5610,A
